Step,Price,Predicted Signal,Step Return,Trade Status
253,68709.27,[0.12582189],0.0035385734,Trade open
254,68952.41,[0.12908003],0.0039983913,Trade open
255,68984.0,[0.13719368],0.0031299223,Trade open
256,68924.33,[0.13301769],0.0073184264,Trade open
257,69212.12,[0.13534988],0.016122846,Trade open
258,69817.06,[0.14626531],0.013399984,Trade open
259,69629.98,[0.14285275],0.0106641585,Trade open
260,69442.0,[0.13789257],0.0136122685,Trade open
261,69644.56,[0.13720131],0.012818048,Trade open
262,69589.99,[0.13695176],0.015743531,Trade open
263,69791.0,[0.13646425],0.017494682,Trade open
264,69911.32,[0.13678738],0.018227162,Trade open
265,69961.65,[0.13511483],0.016005618,Trade open
266,69809.01,[0.13285731],0.018235348,Trade open
267,69962.21,[0.13352199],0.016579026,Trade open
268,69848.41,[0.13285805],0.018216018,Trade open
269,69960.88,[0.13382412],0.017561654,Trade open
270,69915.92,[0.13286969],0.023305511,Trade open
271,70310.58,[0.13795896],0.038753524,Trade open
272,71372.0,[0.14324073],0.036105365,Trade closed
273,71190.05,[0.14121406],0.0,Trade initiated
274,71190.05,[0.13866627],0.00025207613,Trade open
275,71207.99,[0.13440123],-0.0035385038,Trade open
276,70938.14,[0.13533553],-0.0011323125,Trade open
277,71109.44,[0.13443637],-0.0014333333,Trade open
278,71088.01,[0.13351652],-0.00384567,Trade open
279,70916.27,[0.13124248],-0.0021078044,Trade open
280,71039.99,[0.13170604],-0.0012248245,Trade open
281,71102.85,[0.13272789],0.0008204272,Trade open
282,71248.45,[0.1332335],-0.0021434703,Trade open
283,71037.45,[0.13018312],-0.0024171656,Trade open
284,71017.97,[0.1296458],-0.0011088278,Trade open
285,71111.11,[0.13018009],-0.00078717555,Trade open
286,71134.01,[0.13053466],0.0019677742,Trade open
287,71330.13,[0.13453464],0.0015644743,Trade open
288,71301.42,[0.13394646],-0.00061872235,Trade open
289,71146.0,[0.1317414],-0.0002630503,Trade open
290,71171.32,[0.130598],0.0015443916,Trade open
291,71299.99,[0.13258822],0.003679741,Trade open
292,71452.01,[0.14212595],0.00062157563,Trade open
293,71234.3,[0.13114057],-0.0011523952,Trade closed
294,71108.01,[0.13287295],0.0,Trade initiated
295,71108.01,[0.1289689],0.0016951546,Trade open
296,71228.55,[0.13029756],0.0097878175,Trade open
297,71804.0,[0.14336425],0.0068064374,Trade open
298,71592.0,[0.14095742],0.010675112,Trade open
299,71867.09,[0.14290379],0.011441222,Trade open
300,71921.57,[0.14118981],0.018197669,Trade open
301,72402.01,[0.14150071],0.022472747,Trade open
302,72706.0,[0.14094715],0.02294298,Trade open
303,72739.44,[0.13785662],0.025510488,Trade open
304,72922.01,[0.13599318],0.022690725,Trade open
305,72721.5,[0.13653696],0.024482783,Trade open
306,72848.93,[0.13593537],0.02899814,Trade open
307,73170.01,[0.13499258],0.024637148,Trade open
308,72859.91,[0.13337654],0.020084213,Trade open
309,72536.16,[0.13028656],0.012481343,Trade open
310,71995.53,[0.12830223],0.01727247,Trade open
311,72336.22,[0.131322],0.018453551,Trade open
312,72420.2,[0.13076578],0.016622161,Trade open
313,72289.98,[0.12908721],0.017795661,Trade open
314,72373.42,[0.12913112],0.021825843,Trade closed
315,72660.0,[0.13359173],0.0,Trade initiated
316,72660.0,[0.12832154],-0.00035793852,Trade open
317,72633.99,[0.12778209],0.0010517737,Trade open
318,72736.42,[0.12861034],-0.002842434,Trade open
319,72453.47,[0.12770946],-0.0050923177,Trade open
320,72289.99,[0.12700383],-0.0072116707,Trade open
321,72136.0,[0.12024224],-0.003366923,Trade open
322,72415.36,[0.12991795],-0.0033030554,Trade open
323,72420.0,[0.12896974],-0.0043628933,Trade open
324,72342.99,[0.12848146],-0.0055105756,Trade open
325,72259.6,[0.12858562],-0.0058629233,Trade open
326,72234.0,[0.1255931],-0.0046831993,Trade open
327,72319.72,[0.12895438],-0.005202312,Trade open
328,72282.0,[0.12866716],-0.0024079403,Trade open
329,72485.04,[0.12888215],-0.0022295623,Trade open
330,72498.0,[0.1291783],-0.003246499,Trade open
331,72424.11,[0.12674542],-0.004867706,Trade open
332,72306.31,[0.12680903],-0.0046276106,Trade open
333,72323.76,[0.12757327],-0.005945607,Trade open
334,72227.99,[0.12072276],-0.0023386965,Trade open
335,72490.07,[0.13109665],-0.005761746,Trade closed
336,72241.35,[0.12983528],0.0,Trade initiated
