Action,Entry Step,Exit Step,Entry Price,Exit Price,ATR,TP Mult,SL Mult,Trade Return (%),Trade Type
0.222,1547,1560,168.830,167.306,1.161,2.000,1.000,-0.902,SL hit
0.231,1561,1571,166.880,165.688,1.162,2.000,1.000,-0.714,SL hit
0.265,1572,1594,165.240,167.537,0.959,2.000,1.000,1.390,TP hit
0.225,1595,1597,167.610,169.514,0.983,2.000,1.000,1.136,TP hit
0.237,1598,1602,169.920,171.793,0.906,2.000,1.000,1.102,TP hit
0.245,1603,1606,171.850,170.969,0.837,2.000,1.000,-0.513,SL hit
0.226,1607,1613,170.750,172.394,1.100,2.000,1.000,0.963,TP hit
0.242,1614,1617,172.830,175.081,1.556,2.000,1.000,1.303,TP hit
0.263,1618,1621,176.260,174.680,1.879,2.000,1.000,-0.896,SL hit
0.229,1622,1623,172.250,170.321,1.974,2.000,1.000,-1.120,SL hit
0.224,1624,1625,170.260,168.314,2.021,2.000,1.000,-1.143,SL hit
0.256,1626,1633,166.650,170.689,2.343,2.000,1.000,2.423,TP hit
0.225,1634,1634,173.300,171.092,2.208,2.000,1.000,-1.274,SL hit
0.212,1635,1636,170.070,167.927,2.088,2.000,1.000,-1.260,SL hit
0.220,1637,1641,167.690,165.554,2.158,2.000,1.000,-1.274,SL hit
0.240,1642,1644,165.350,163.279,1.854,2.000,1.000,-1.253,SL hit
0.259,1645,1647,163.010,161.192,1.741,2.000,1.000,-1.115,SL hit
0.283,1648,1663,159.660,163.101,1.575,2.000,1.000,2.155,TP hit
0.217,1664,1674,163.730,166.881,1.579,2.000,1.000,1.925,TP hit
0.229,1675,1676,167.170,165.673,1.418,2.000,1.000,-0.896,SL hit
0.215,1677,1684,165.310,168.186,1.641,2.000,1.000,1.740,TP hit
0.234,1685,1698,168.400,166.742,1.203,2.000,1.000,-0.984,SL hit
0.226,1699,1709,166.640,165.411,1.186,2.000,1.000,-0.737,SL hit
0.244,1710,1717,165.370,167.780,1.654,2.000,1.000,1.457,TP hit
0.229,1718,1718,167.890,166.242,1.648,2.000,1.000,-0.982,SL hit
0.213,1719,1736,166.000,169.324,1.446,2.000,1.000,2.003,TP hit
0.232,1737,1747,169.970,168.516,1.335,2.000,1.000,-0.856,SL hit
0.221,1748,1759,168.080,170.510,2.091,2.000,1.000,1.446,TP hit
0.241,1760,1764,172.760,170.491,2.629,2.000,1.000,-1.313,SL hit
0.217,1765,1776,167.100,172.379,1.934,2.000,1.000,3.159,TP hit
0.236,1777,1793,173.950,177.806,1.585,2.000,1.000,2.217,TP hit
0.239,1794,1828,178.490,181.464,1.601,2.000,1.000,1.666,TP hit
0.247,1829,1843,182.340,185.701,1.566,2.000,1.000,1.843,TP hit
0.237,1844,1849,186.190,184.174,2.667,2.000,1.000,-1.083,SL hit
0.230,1850,1872,177.910,175.057,1.680,2.000,1.000,-1.604,SL hit
0.268,1873,1875,174.890,173.190,1.644,2.000,1.000,-0.972,SL hit
0.281,1876,1883,172.750,176.077,1.376,2.000,1.000,1.926,TP hit
0.215,1884,1887,176.100,174.799,1.236,2.000,1.000,-0.739,SL hit
0.226,1888,1895,174.580,177.074,1.194,2.000,1.000,1.429,TP hit
0.223,1896,1901,177.410,176.201,1.134,2.000,1.000,-0.681,SL hit
0.219,1902,1915,175.340,177.636,0.944,2.000,1.000,1.309,TP hit
0.223,1916,1916,177.780,176.827,0.953,2.000,1.000,-0.536,SL hit
0.225,1917,1923,176.720,175.750,1.475,2.000,1.000,-0.549,SL hit
0.283,1924,1939,172.310,170.840,1.101,2.000,1.000,-0.853,SL hit
